NgayDangBan,Id_NguoiDangban,NguoiDangban,LoaiBDS,Tinh,Huyen,Xa,DiaChi,TongGia,Gia/m2,MaTin,DienTich,ChieuDai,ChieuRong,Huong,PhongNgu,PhongTam,MoTa,id,GiayToPhapLy,TienIchLanCan,DuongVaoBds,ViTri,HuongBanCong,NamXayDung,HienTrangNha,TrangThaiSuDung,TienIchToaNha,HangXom,AnNinh,DuongVao,SoTang,KetCau,"NoiThat,TienNghi"
"11/07/2022, 17:41",3667,Tuấn Thành,Nhà riêng,TP. Hồ Chí Minh,Quận Tân Bình,Phường 8,"Bắc Hải, Phường 8, Quận Tân Bình, TP. Hồ Chí Minh",9.5 tỷ,158.33 triệu/m²,15436,60 m²,--,--,--,--,--,"Bán Nhà hẻm 4m đường Bắc Hải, Phường 8, Quận Tân Bình. - DT: 4.3m x 14m. Sổ CN: 60m2. Đúc 1 Trệt + 1 Lửng + 3 Lầu. . - Đường 4m Thông, xe hơi tới cửa. Vị Trí Dân Trí cao, thích hợp gia đình đông người. Giá: 9.5 Tỷ còn TL. LH: Trương Thành Xem nhà.",1657536074,,,,,,,,,,,,,,,
"11/07/2022, 17:22",4037,Hoàng Đình An,Căn hộ,Quảng Nam,Thị xã Điện Bàn,Phường Điện Dương,"Lạc  Long Quân, Phường Điện Dương, Thị xã Điện Bàn, Quảng Nam",10.34 tỷ,94 triệu/m²,15289,110 m²,--,--,Đông Bắc,5+,5+,"Căn shoptel view biển dự án La Queenara Hội An, Dễ x2 - 3 trong 1 - 2 năm tới. kề sông cận biển' hội đã xong hạ tầng, vốn chỉ từ 15% - sở hữu lâu dàI. Chỉ phải vào tiền 15% kí HĐMB. Ngân hàng cho vay 70%, lãi suất 0% trong 24 tháng. Miễn phí dịch vụ 2 năm. Tặng thẻ tập golf 1 năm tại khu đô thị. 100% các căn 2 mặt tiền, có bể bơi, 100% sản phẩm 2 mặt tiền, sân vườn trước sau. Sản phẩm: + Shoptel 140m2 5 tầng 16 phòng. + Mini resort 100 - 110m2 4 tầng 8 phòng. + Shop Villas 240 - 280m2 3 tầng có bể bơi riêng. Giá bán: Từ 8.4 - 25 tỷ. Công viên, cây xanh, hệ sinh thái hoàn thiện. Bàn giao nhà dự kiến: Quý IV/2023. . Tổng quan dự án. . Chủ đầu tư: Công ty TNHH Phát triển Đô thị Bắc Hội An. . Quy mô dự án: 200ha - 100% Sản phẩm sở hữu lâu dài . Vị trí: Cận biển An Bàng, kề sông Cổ Cò, Liền sân Golf. . Đủ pháp lý: Chứng nhận đầu tư, sổ đỏ sở hữu lâu dài, quy hoạch 1/500, giấy phép xây dựng. . Tâm điểm đầu tư BĐS năm 2022. . Vị trí đắc địa '1 - 0 - 2' giáp sông cận biển. . Cách phố Cổ Hội An chỉ 5 phút, cách Cù Lao Chàm 10 phút, cách Quốc Lộ 1A chỉ 15 phút, cách Sân bay Quốc Tế Đà Nẵng 25 phút. Tiện ích chuẩn 5* quốc tế. Sân golf 18 lỗ - sân tập golf, khách sạn - Resort La Queenara 5*, Bến du thuyền, Bệnh viện đa khoa quốc tế... Tiềm năng tăng giá x2. Trục đường tỷ đô kết nối chuỗi resort cao cấp Đà Nẵng Hội An. Từ 30/3/2022 mở cửa du lịch trên toàn quốc với khách quốc tế như giai đoạn trước dịch, du lịch Đà Nẵng và Hội An được hồi phục mạnh mẽ từ 2022. Các sự kiện quốc tế lớn sẽ liên tục được tổ chức trong 2022: - Đà Nẵng tổ chức diễn đàn phát triển đường bay Châu Á. - Quảng Nam đăng cai năm du lịch quốc gia.",1657514173,Sổ đỏ,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Nhà hát', 'Rạp chiếu phim', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp', 'Sân bay', 'Gần sông', 'Gần biển', 'Khu dân cư', 'Cao tốc', 'Bệnh viện']",,Mặt tiền,Đông Bắc,2021,Nhà trống,Chưa sử dụng,"['Chỗ để ô tô', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'Siêu thị mini', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Sân nướng BBQ', 'Nhà hàng', 'Cà phê']",['Thân thiện'],"['Bảo vệ 24/24', 'Carmera an ninh']",,,,
"11/07/2022, 17:22",2945,Nguyen Minh Tien,Đất bán,Quảng Trị,Huyện Cam Lộ,Xã Cam Thành,"Xã Cam Thành, Huyện Cam Lộ, Quảng Trị",490 triệu,4.45 triệu/m²,15433,110 m²,5 m,23 m,--,--,--," Tiếp Tục Ra Cho Khách Hàng DỰ ÁN 23 NỀN F0 
CAM THÀNH - CAM LỘ
 4xx Triệu/Lô 
 Đường thông thoáng , khu bàn cờ nối nhau.
- Diện tích: 110m2 - 190m2
- Đường Bê tông oto
- Hạ tầng và tiện ích xung quanh bắt đầu phát triển .
5 Em TIẾN chuyên đất HUẾ - QUẢNG TRỊ.",1657534935,Sổ hồng,,,,,,,,,,,5 m,,,
"11/07/2022, 17:14",3940,Trần Toàn,Nhà riêng,TP. Hồ Chí Minh,TP. Thủ Đức,Phường Tăng Nhơn Phú A,"Lê Văn Việt, Phường Tăng Nhơn Phú A, TP. Thủ Đức, TP. Hồ Chí Minh",5.2 tỷ,69.33 triệu/m²,15432,75 m²,19 m,4 m,--,4,4,"Cần bán gấp nhà 4tầng, Lê Văn Việt Q9,giá 5,2tỷ , hẻm ô tô 6m,75m2. +Diện tích sổ công nhận 75m2.(4 rộng x19 dài). +Nhà kết cấu bê tông cốt thép,xây dựng tâm huyết. + Sân thượng trước sau.thiết kế đẳng cấp. + Căn nhà ở vị trí rất đẹp,cao ráo thoáng mát. +Hẻm rộng 6m,oto đỗ trước nhà. +Hẻm thông ra Lê Văn Việt,LÃ Xuân Oai;gần trường đại học giao thông vận tải,trường học các cấp,siêu thị ngân hàng,UBND phường. + Khu dân cư sầm uất,dân trí cao. + Nhà 4 tầng lầu ,4 phòng ngủ wc khép kín. + Sổ hồng công chứng ngay trong ngày. + Xin liên hệ để xem nhà miễn phí.",1657534447,Sổ hồng,,['Đường trải nhựa'],Hẻm,,,Đang ở,Đã qua sử dụng,,"['Thân thiện', 'Trí thức']",,6 m,4,Nhà cấp 2,
"11/07/2022, 17:11",2756,Mr. Đan,Đất bán,Đồng Nai,Huyện Cẩm Mỹ,Xã Xuân Đông,"Xã Xuân Đông, Huyện Cẩm Mỹ, Đồng Nai",1.67 tỷ,1.4 triệu/m²,15431,1194 m²,--,--,--,--,--,"+ DT 1194m2 (15x75m), đất ở khu dân cư hiện hữu. + Cách DT765 500m, đi sân bay Long Thành chỉ 30 phút. + Vị trí đẹp nằm ngay khu trung tâm, kinh tế phát triển mạnh. + Đi về Sài Gòn chỉ 2 trục thẳng, tương lai lên đô thị. + Sổ hồng riêng, xin thổ cư xây nhà dễ dàng. + Giá chỉ 1.4tr/m2, gọi em Đan xem đất.",1657534297,Sổ hồng,,,Mặt tiền,,,,,,,,,,,
"11/07/2022, 17:08",1764,Anh Tuấn,Đất bán,TP. Hà Nội,Quận Long Biên,Phường Thạch Bàn,"Đường Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, TP. Hà Nội",5.4 tỷ,54 triệu/m²,15430,100 m²,20 m,4.99 m,Bắc,--,--,"Chính chủ bán mảnh đất rộng 104m2 ở ngõ 136 phố ngọc trì, Phường Thạch bàn gần AEON Long biên và cầu vĩnh tuy. Mảnh đất có mặt tiền 5m, vuông vắn, ô tô vào tận nơi, sổ đỏ chính chủ, đất thổ cư, không tranh chấp, giá bán 54tr/1m2 có thương lượng. Liên hệ chính chủ miễn trung gian: Tuấn Anh.",1657534108,Sổ đỏ,,,,,,,,,,,8 m,,,
"11/07/2022, 17:08",2600,Thái Nghiệp,Nhà riêng,TP. Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, TP. Hà Nội",6 tỷ,166.67 triệu/m²,15429,36 m²,15 m,4.2 m,Bắc,3,3,"Bán nhà phố Minh Khai gần TimeCity. Kinh doanh bất chấp, Gía chào 6 tỷ
+ Diện tích 36m×5T, MT 4.2
+ Tổng 3PN rộng vệ sinh khép kín
+ Mặt tiền rộng rất lợi thế
+ Sổ đỏ vuông đẹp, giao dịch ngay
Lý thuyết Ô Tô vào nhà
Cách mặt phố Minh Khai 80m. Khu dân cư đông đúc, hiện hữu, xung quanh đua nhau bán mọi mặt hàng
Sáng chạy bộ TimeCity, chiều tập Gym California...Nóng quá ra Sông Hồng nhảy cầu. LH. Mr Nghiệp ( Độc tôn thổ cư Hà Nội ).",1657534090,Sổ đỏ,"['Siêu thị mini', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Khu công nghiệp']","['Đường trải nhựa', 'Đường bê tông']",Hẻm,,,Nhà trống,Chưa sử dụng,,"['Thân thiện', 'Trí thức']",,3 m,5+,Nhà cấp 1,"['Kệ TV', 'Tủ trang trí', 'Bàn ghế P.Khách', 'Giường ngủ', 'Bàn phấn', 'Tủ quần áo', 'Tủ bếp', 'Bàn ăn', 'Máy hút mùi', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt']"
"11/07/2022, 17:04",4101,Trần Thanh Nhàn,Căn hộ,Bình Định,TP. Qui Nhơn,Phường Ghềnh Ráng,"Quốc lộ 1D, Phường Ghềnh Ráng, TP. Qui Nhơn, Bình Định",1.4 tỷ,28 triệu/m²,15428,50 m²,--,--,--,2,1,"[Căn Hộ Sân Vườn Đầu Tiên Tại Thành Phố Quy Nhơn]. Chỉ từ [300 Triệu Đồng] sở hữu ngay căn hộ 2 phòng ngủ. Ngân hàng PVcombank hỗ trợ vay lên đến 80% giá trị căn hộ (được ân hạn nợ & lãi suất lên đến 12 tháng. Tên dự án: Calla Apartment Quy Nhơn. Chủ đầu tư: Công ty Cổ phần đầu tư phát triển Armo. Vị trí dự án: Khu đô thị xanh Vũng Chua thuộc phường Ghềnh Ráng, thành phố Quy Nhơn, tỉnh Bình Định. (Sau lưng siêu thị Big C). - Diện tích khu đất: 3.067 m2. - Mật độ xây dựng: Khối đế 68%; Khối tháp 42%. - Số tầng nổi: 29 tầng nổi. - Số tầng hầm: 1 tầng hầm tràn khu đất. - Số lượng căn hộ: 454 căn hộ + 13 căn shophouse thương mại. - Diện tích căn 1PN: 41 m². - Diện tích căn 2PN: 51 m² – 69 m². - Diện tích căn 3PN: 87 m². Pháp lý: Sổ hồng, sở hữu lâu dài.",1657533886,Sổ hồng,"['Công viên', 'Hồ bơi', 'Chỗ đậu ô tô', 'T.T thương mại', 'Rạp chiếu phim', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu du lịch', 'Bệnh viện']",,Mặt tiền,,,,Chưa sử dụng,"['Chỗ để ô tô', 'Hầm để xe', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'Siêu thị mini', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Nhà hàng', 'Cà phê']",,"['Bảo vệ 24/24', 'Carmera an ninh']",,,,['Vòi hoa sen']
"11/07/2022, 17:04",2181,Phạm Trung Đức,Căn hộ,Bà Rịa - Vũng Tàu,TP. Vũng Tàu,Phường 2,"300 Phan Chu Trinh , Phường 2, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",2.45 tỷ,70 triệu/m²,15427,35 m²,--,--,--,1,1,"CĂN HỘ “6 SAO” CAO CẤP NHẤT VŨNG TÀU. - Vị trí: 300 Phan Chu Trinh, P.2, Vũng Tàu. - Diện tích gần 11.578 m2 . - Số lượng có hạn : 800 căn . - Gẫn bãi sau Thùy Vân , cách biển 100m , trung tâm TP.Vũng Tàu. - Thiết kế tổng quan nội thất 5 sao. - Tiện ích dịch vụ nội khu cao cấp. - Hồ bơi tràn bờ view thẳng biển. - Cam kết vận hành và cam kết thuê lại của đơn vị vận hành quốc tế 'CENTARA'. - Đặc biệt với chính sách trao đổi kỳ nghỉ giữa các dự án của Hưng Thịnh. *** Cơ hội đầu tư sinh lời từ Vũng Tàu Central Beach ***. - Booking giữ chỗ 100tr/suất.",1657533858,Hợp đồng mua bán,,,Mặt tiền,,,,,,,,,,,
"11/07/2022, 17:01",2600,Thái Nghiệp,Nhà riêng,TP. Hà Nội,Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Phố Yên Lạc, Phường Vĩnh Tuy, Quận Hai Bà Trưng, TP. Hà Nội",8.5 tỷ,180.85 triệu/m²,12648,47 m²,12 m,4 m,--,4,4,"Cần sang nhượng lại nhà Phố YÊN LẠC - KIM NGƯU ngõ thông KINH DOANH - Ô TÔ . Nhà nằm cách phố Kim Ngưu 20m, xây mới, chủ nhà xây dựng chắc chắn, hiện đại, thiết bị vệ sinh inox cao cấp tay vịn cầu thang làm bằng gỗ. Diện tích 47m thực tế 52m, xây 5T, MT4m. Thiết kế. Tầng 1: PK + Bếp + WC. Tầng 2,3,4: Mỗi tầng 2PN vệ sinh khép kín. Tầng 5 : Phòng thờ + Sân Phơi. Gần khu căn hộ cao cấp HIDONE ( Nhật Bản). Cách TimeCity 1km. Dân trí cao, khu phân lô Quân đội nên rất yên tâm sinh sống. SỔ ĐỎ VUÔNG ĐẸP GD NGAY. LH ngay để có thêm thông tin và xem nhà miễn phí.",1656579053,Sổ đỏ,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị']",['Đường trải nhựa'],Hẻm,,,Nhà trống,Chưa sử dụng,,['Thân thiện'],,4 m,5+,Biệt thự,"['Kệ TV', 'Tủ trang trí', 'Bàn ghế P.Khách', 'Giường ngủ', 'Bàn phấn', 'Tủ quần áo', 'Tủ bếp', 'Bàn ăn', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt', 'Máy giặt', 'Máy rửa chén', 'Dàn Karaoke', 'Tivi', 'Tủ lạnh']"
"11/07/2022, 17:01",2600,Thái Nghiệp,Nhà riêng,TP. Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, TP. Hà Nội",13.5 tỷ,313.95 triệu/m²,15146,43 m²,13 m,4 m,Đông Nam,4,4,"Cần bán nhà MẶT PHỐ Trương Định KINH DOANH mọi mặt hàng. Có thang máy
+ Diện tích 45m×5T
+ MT 3.5m
+ Giá bán gấp 13.5 Tỷ
Thiết kế thông sàn mỗi tầng 1 phòng, các sàn đều lát gỗ vệ sinh khép kín
Tầng 5 chủ tạo sân chơi riêng kết hợp ngắm cảnh cafe mỗi sáng
SỔ ĐỎ CỰC ĐẸP PHÁP LÝ RÕ RÀNG. LH. Mr Nghiêp ( Độc tôn thổ cư Hai Bà Trưng.",1657438882,Sổ đỏ,"['Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị']","['Đường trải nhựa', 'Đường bê tông']",Mặt tiền,,,Nhà trống,Chưa sử dụng,,"['Thân thiện', 'Trí thức']",,15 m,,Nhà cấp 1,"['Kệ TV', 'Tủ trang trí', 'Bàn ghế P.Khách', 'Giường ngủ', 'Bàn phấn', 'Tủ quần áo', 'Bàn ăn', 'Máy hút mùi', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt', 'Máy lạnh']"
"11/07/2022, 16:58",3803,Nguyễn Thị Ngọc Nhiên,Đất bán,Lâm Đồng,TP. Bảo Lộc,Xã Lộc Nga,"QL 20, Xã Lộc Nga, TP. Bảo Lộc, Lâm Đồng",1.4 tỷ,11.2 triệu/m²,15424,125 m²,25 m,4.99 m,--,--,--,"_ Vị trí: Mặt đường Liên Xã, Bảo Lâm,TP Bảo Lộc tỉnh Lâm Đồng. (Cách nút giao cao tốc Dầu Giây – Liên Khương 4km). Tiện ích xung quanh, khu dân cư hiện hữu : Gần chợ, trường mầm non, trường học, trạm xá, chỉ 5 phút chạy xe. - DT 100m2 (5*20). - DT 125m2 (5*25). - DT 175m2 (7*25). Pháp lý chuẩn, thổ cư có sẵn, sổ hồng riêng công chứng ngay. _ Loại sản phẩm: Đất nền, Nghĩ dưỡng, Dinh Thự, Biệt thự, . _ Xây dựng tự do. _ Cách trung tâm TP.Bảo Lộc từ 10 phút. _ Gần các khu du lịch nổi tiếng và khu đất của các tập đoàn lớn: KDL Hồ Cai Bảng , Fuji Village Homestay, hồ Đắkle, Novaland,..... Liên hệ em Nhiên để được hỗ trợ xem dự án: .",1657533521,Sổ đỏ,,,,,,,,,,,,,,
"11/07/2022, 16:57",3626,Đặng Vy,Căn hộ,TP. Hồ Chí Minh,TP. Thủ Đức,Phường Long Trường,"Phường Long Trường, TP. Thủ Đức, TP. Hồ Chí Minh",2.46 tỷ,39 triệu/m²,15423,63 m²,--,--,--,--,--,"- Tên dự án: MT EASTMARK CITY. - Vị trí căn hộ: Vành Đai 3, Phường Long Trường, TP. Thủ Đức. - Chủ đầu tư: Công ty TNHH và KD nhà Điền Phúc Thành. - Phát triển dự án: Rio Land. - Đơn vị xây dựng: Phước Thành hoặc Hoà Bình (dự kiến). - Quy mô dự án:149.391,7 m2. - Diện tích đất: 29.154m2. - Diện tích xây dựng công trình: 11.666.7m2. - Diện tích đất cây xanh vườn hoa: 6.321.0 m2. - Diện tích đất giao thông sân bãi: 11.175m2. - Tổng số tầng căn hộ mỗi toà: Tối đa 22 tầng.",1657533478,,,,,,,,,,,,,,,
"11/07/2022, 16:56",3887,Minh Kết,Nhà riêng,TP. Hồ Chí Minh,Quận 10,Phường 6,"Vĩnh Viễn, Phường 6, Quận 10, TP. Hồ Chí Minh",15.5 tỷ,474.01 triệu/m²,15422,32.7 m²,11 m,3.5 m,Tây Bắc,3,3,"Bán nhà mặt tiền, căn ms: 5640, đường Vĩnh Viễn, P.6, Q.10, TP.HCM. Gía 15,5 tỷ. . HƯỚNG: Tây Bắc. . DT: 3.5m x 11m (vuông vứt), công nhận: 32.7m2. . KẾT CẤU: 1 trệt, 2 lầu, sân thượng. . PHÁP LÝ: có sổ hồng. . VỊ TRÍ: gần khu chợ điện tử Nhật Tảo, quận 10. . GIÁ: 15.5 tỷ (có thương lượng). THÔNG TIN LIÊN HỆ:. SĐT/ ZALO: – MINH KẾT.",1657533404,Sổ hồng,"['Công viên', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị', 'Khu dân cư', 'Bệnh viện']",['Đường trải nhựa'],Mặt tiền,,,Nhà trống,Đã qua sử dụng,,,['Carmera an ninh'],10 m,4,Nhà cấp 3,
"11/07/2022, 16:54",4102,Lương Thị Sang,Đất bán,Bắc Giang,Huyện Lục Nam,Xã Yên Sơn,"293, Xã Yên Sơn, Huyện Lục Nam, Bắc Giang",980 triệu,9.51 triệu/m²,15420,103 m²,20 m,5 m,Đông Nam,--,--,"Yên sơn lục nam. diện tích;103m3 mặt tiền 5m. Cách khoảng 30m ra khu đô thị dịch vụ bắc lũng,vành đai 5. Khoảng 400m là cụm công nghiệp vũ xá và khu côngnghiệp yên sơn. Vành đai 5 sẽ khởi công trong quý 3 năm 2022.",1657533298,Sổ hồng,['Khu công nghiệp'],['Đường bê tông'],,,,,,,,,3 m,,,
"11/07/2022, 16:53",2620,Thaico,Nhà riêng,TP. Hà Nội,Quận Hai Bà Trưng,Phường Minh Khai,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, TP. Hà Nội",6 tỷ,166.67 triệu/m²,15419,36 m²,15 m,4.2 m,--,3,3,"Bán nhà phố Minh Khai gần TimeCity. Kinh doanh bất chấp, Gía chào 6 tỷ
+ Diện tích 36m×5T, MT 4.2
+ Tổng 3PN rộng vệ sinh khép kín
+ Mặt tiền rộng rất lợi thế
+ Sổ đỏ vuông đẹp, giao dịch ngay
Lý thuyết Ô Tô vào nhà
Cách mặt phố Minh Khai 80m. Khu dân cư đông đúc, hiện hữu, xung quanh đua nhau bán mọi mặt hàng
Sáng chạy bộ TimeCity, chiều tập Gym California...Nóng quá ra Sông Hồng nhảy cầu. LH. Mr Nghiệp ( Độc tôn thổ cư Hà Nội ).",1657533208,Sổ đỏ,"['Công viên', 'Hồ bơi', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà văn hóa', 'Sân vận động', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Chợ', 'Siêu thị', 'Khu du lịch']",,Hẻm,,,Nhà trống,Chưa sử dụng,,"['Thân thiện', 'Trí thức']",,3 m,5+,Nhà cấp 1,"['Kệ TV', 'Tủ trang trí', 'Bàn ghế P.Khách', 'Giường ngủ', 'Bàn phấn', 'Tủ quần áo', 'Tủ bếp', 'Bàn ăn', 'Máy hút mùi', 'Bình nóng lạnh', 'Bồn tắm', 'Vòi hoa sen', 'Bồn rửa mặt', 'Máy lạnh']"
"11/07/2022, 16:51",4103,Hùng,Nhà riêng,TP. Hà Nội,Quận Ba Đình,Phường Đội Cấn,"Phường Đội Cấn, Quận Ba Đình, TP. Hà Nội",3.5 tỷ,116.67 triệu/m²,15418,30 m²,--,--,Tây Bắc,2,3," Chính chủ bán nhà riêng có sổ đỏ trong ngõ Đội Cấn, 3 mặt thoáng, gần chợ trường viện.",1657533114,Sổ đỏ,"['Công viên', 'Siêu thị mini', 'Chỗ đậu ô tô', 'T.T thương mại', 'Nhà thiếu nhi', 'Nhà hát', 'Trường mầm non', 'Trường cấp 1', 'Trường cấp 2', 'Trường cấp 3', 'Trường Đại học', 'Chợ', 'Siêu thị']",['Đường trải nhựa'],Hẻm,,,Đang ở,Đã qua sử dụng,,['Thân thiện'],['Bảo vệ 24/24'],,3,,
"11/07/2022, 16:47",4104,Hồ Sơn,Đất bán,Kiên Giang,Huyện Phú Quốc,Xã Cửa Dương,"Đường Dương Đông Cứa Cạn(ĐT45), Xã Cửa Dương, Huyện Phú Quốc, Kiên Giang",4.5 tỷ,29.03 triệu/m²,15417,155 m²,25 m,6 m,Đông,--,--,"Bán lô đất mặt tiền đường Dương Đông Cứa Cạn(ĐT45), TP Phú Quốc, Kiên Giang, diện tích 155m2. – VỚI DIỆN TÍCH : NGANG 6m X DÀI 25,1m = 155,2 m2. –ĐỊA CHỈ : Ấp Ông Lang, Xã Cửa Dương, Thành Phố Phú Quốc , tỉnh Kiên Giang. – GIÁ HẤP DẪN CHỈ : 4.5 TỶ VNĐ( có Thương lượng ). + Có lợi thế về vị trí: tọa lạc trên mặt tiền đường Dương Đông Cửa Cạn (ĐT45) Ngoài lộ giới 25m, giao thông thuận tiện, an ninh tốt. + Gần vòng xoay nga 3 đường tránh , sắp hoàn thành rất thuận lợi cho việc giao thông . – Cách chợ Dương Đông Phú Quốc, chợ đêm Phú Quốc chỉ 15 phút, khu du lịch, Dinh Bà và cách bãi tắm biển 10 phút. – Nằm tại vị trí cầu nối giữa sân bay và các địa điểm vui chơi giải trí tầm cỡ như GRANDWORD và VINWONDER PHÚ QUỐC. – Tiện ích: – Loại hình xây dựng tự do. Nằm trong khuôn viên quy hoạch đất ở thấp tầng có thể xây nhà dưới 5 tầng. Tỉ suất lợi nhuận cao khi đầu tư. – Pháp lý vững vàng minh bạch sổ hồng riêng sang tên công chứng ngay. + Với mức giá vô cùng hấp dẫn thấp trong khu vực có 1 không 2 hiện tại. ACE có nhu cầu xin vui long gọi điện thoại trao đổi. Xin cám ơn đã xem thông tin.",1657532821,Sổ đỏ,"['T.T thương mại', 'Khu du lịch', 'Sân bay', 'Cảng biển']",['Đường trải nhựa'],Mặt tiền,,,,,,,,25 m,,,
"11/07/2022, 16:43",3884,An Hạ,Căn hộ,TP. Hà Nội,Quận Bắc Từ Liêm,Phường Đông Ngạc,"Phường Đông Ngạc, Quận Bắc Từ Liêm, TP. Hà Nội",4.6 tỷ,47.92 triệu/m²,15416,96 m²,--,--,Đông Nam,3,2,"Chính chủ cần bán gấp căn hộ tầng VIP S6 Sunshine City. - Căn hộ số 08, tầng trung, căn góc nên hưởng ánh sáng tự nhiên gần như toàn ngôi nhà. - Diện tích: 96m2, gồm 3PN, 2 WC, 1 PK, 1 bếp. . - Cửa vào hướng Đông Nam, ban công hướng Tây Bắc, view rộng rãi và cực kì thoáng. - Nội thất đã được trang bị đầy đủ. Nhà còn rất mới. GIÁ BÁN: 4 tỷ 6 (miễn phí dịch vụ). Liên hệ xem nhà ngay: (Hạ). .",1657532604,Sổ đỏ,,,,Tây Bắc,,Đầy đủ nội thất,Chưa sử dụng,"['Chỗ để ô tô', 'Hầm để xe', 'Công viên', 'Hồ bơi chung', 'Ban công riêng', 'Siêu thị mini', 'T.T thương mại', 'P. sinh hoạt chung', 'Phòng tập gym', 'Sân chơi trẻ em', 'Sân nướng BBQ', 'Nhà hàng', 'Cà phê']","['Thân thiện', 'Trí thức']","['Bảo vệ 24/24', 'Carmera an ninh']",,,,
"11/07/2022, 16:37",4096,Trần Quốc,Đất bán,Thừa Thiên Huế,TP. Huế,Phường Xuân Phú,"Nguyễn Lộ Trạch, Phường Xuân Phú, TP. Huế, Thừa Thiên Huế",5 tỷ,50 triệu/m²,15415,100 m²,20 m,4.99 m,Nam,--,--,"MUA VÀNG THÌ LỖ - MUA THỖ THÌ LỜI
* Đất nằm vị trí vàng - trục đường 100m, 26m,18,5m. trực diện chợ Cống mới, dự án TTTM Doj, Phú Xuân City, Chung cư Xuân Phú, Aranya, BHXH Tỉnh, TT Hành Chính Công
* Giá bán 50 triệu/m2.
* Sổ hồng
* Thích hợp kinh doanh buôn bán các dịch vụ.
* Có thương lượng chính chủ.
Liên hệ Quốc zalo đi xem đất.",1657532263,,"['T.T thương mại', 'Chợ', 'Siêu thị']",['Đường trải nhựa'],,,,,,,,,23 m,,,
